2015-02-18 19:33:23 status unpacked libc-bin:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 upgrade libc6:amd64 2.19-0ubuntu6 2.19-0ubuntu6
2015-02-18 19:33:23 status half-configured libc6:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 status unpacked libc6:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 status half-installed libc6:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 status half-installed libc6:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 status unpacked libc6:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 status unpacked libc6:amd64 2.19-0ubuntu6
2015-02-18 19:33:23 install libcap2:amd64 <none> 1:2.24-0ubuntu2
2015-02-18 19:33:23 status half-installed libcap2:amd64 1:2.24-0ubuntu2
2015-02-18 19:33:23 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2015-02-18 19:33:23 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2015-02-18 19:33:23 install libcgmanager0:amd64 <none> 0.24-0ubuntu5
2015-02-18 19:33:23 status half-installed libcgmanager0:amd64 0.24-0ubuntu5
2015-02-18 19:33:23 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2015-02-18 19:33:23 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2015-02-18 19:33:23 install libcomerr2:amd64 <none> 1.42.9-3ubuntu1
2015-02-18 19:33:23 status half-installed libcomerr2:amd64 1.42.9-3ubuntu1
2015-02-18 19:33:23 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2015-02-18 19:33:23 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2015-02-18 19:33:23 install libdb5.3:amd64 <none> 5.3.28-3ubuntu3
2015-02-18 19:33:23 status half-installed libdb5.3:amd64 5.3.28-3ubuntu3
2015-02-18 19:33:23 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2015-02-18 19:33:23 status unpacked libdb5.3:amd64 5.3.28-3ubuntu3
2015-02-18 19:33:23 install libdbus-1-3:amd64 <none> 1.6.18-0ubuntu4
2015-02-18 19:33:23 status half-installed libdbus-1-3:amd64 1.6.18-0ubuntu4
2015-02-18 19:33:23 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
2015-02-18 19:33:23 status unpacked libdbus-1-3:amd64 1.6.18-0ubuntu4
